epoch, iters, G_GAN, G_L1, D_real, D_fake
28, 300, 2.024, 32.837, 0.031, 0.298
28, 400, 2.535, 40.038, 0.003, 0.248
29, 100, 3.789, 29.371, 0.579, 0.006
29, 200, 2.29, 24.691, 0.26, 0.088
29, 300, 2.312, 36.214, 0.005, 0.335
29, 400, 2.58, 43.328, 0.0, 0.164
30, 100, 2.697, 40.182, 0.012, 0.167
30, 200, 1.301, 26.173, 0.599, 0.723
30, 300, 1.188, 27.115, 0.848, 0.082
30, 400, 1.008, 22.829, 0.341, 1.961
31, 100, 2.534, 37.728, 0.018, 0.457
31, 200, 2.246, 30.17, 0.135, 0.224
31, 300, 0.594, 26.116, 3.091, 0.152
31, 400, 3.214, 37.89, 0.038, 0.062
32, 100, 3.157, 26.175, 0.016, 0.079
32, 200, 1.63, 24.901, 1.956, 0.049
32, 300, 3.86, 31.639, 0.068, 0.039
32, 400, 2.203, 56.118, 0.001, 0.381
33, 100, 3.226, 35.405, 0.032, 0.058
33, 200, 3.121, 34.708, 0.015, 0.161
33, 300, 2.559, 34.145, 0.044, 0.259
33, 400, 2.732, 31.615, 0.047, 0.157
34, 100, 4.522, 36.222, 2.161, 0.003
34, 200, 2.24, 33.456, 0.52, 0.131
34, 300, 0.831, 24.141, 2.314, 0.088
34, 400, 2.78, 31.775, 0.002, 0.261
35, 100, 2.587, 28.444, 0.404, 0.157
35, 200, 2.191, 36.788, 0.004, 0.182
35, 300, 0.461, 23.783, 1.227, 0.282
35, 400, 0.71, 24.861, 2.834, 0.095
36, 100, 2.025, 23.924, 0.329, 0.154
36, 200, 2.415, 34.776, 0.02, 0.268
36, 300, 2.932, 32.263, 0.798, 0.032
36, 400, 3.715, 33.054, 0.036, 0.041
37, 100, 3.244, 32.295, 0.048, 0.099
37, 200, 2.207, 24.8, 0.011, 0.271
37, 300, 3.257, 32.643, 0.02, 0.643
37, 400, 3.055, 34.63, 0.045, 0.154
38, 100, 1.455, 29.316, 0.489, 0.172
38, 200, 2.222, 27.513, 0.19, 0.223
38, 300, 2.705, 23.568, 0.12, 0.097
38, 400, 1.98, 30.66, 0.004, 0.579
39, 100, 3.001, 36.806, 0.008, 0.246
39, 200, 2.985, 36.977, 0.101, 0.119
39, 300, 2.818, 33.982, 0.004, 0.161
39, 400, 1.796, 23.119, 0.189, 0.787
40, 100, 1.397, 32.433, 2.033, 0.102
40, 200, 2.568, 28.984, 0.816, 0.045
40, 300, 4.581, 30.551, 0.031, 0.014
40, 400, 2.674, 52.711, 0.006, 0.132
41, 100, 3.237, 29.428, 0.874, 0.051
41, 200, 2.136, 25.189, 0.037, 0.457
41, 300, 2.606, 27.062, 0.026, 0.233
41, 400, 2.292, 29.533, 0.072, 0.267
42, 100, 2.483, 21.805, 0.357, 0.077
42, 200, 2.501, 28.738, 0.811, 0.105
42, 300, 2.973, 26.251, 0.032, 0.162
42, 400, 2.581, 28.849, 0.079, 0.841
43, 100, 1.158, 22.309, 1.015, 0.075
43, 200, 4.752, 35.205, 0.038, 0.016
43, 300, 2.4, 23.306, 0.243, 0.29
43, 400, 1.476, 31.892, 0.724, 0.19
44, 100, 2.049, 26.72, 0.809, 0.066
44, 200, 2.096, 34.312, 0.001, 1.269
44, 300, 2.289, 34.508, 0.162, 0.111
44, 400, 2.633, 27.486, 0.134, 0.097
45, 100, 1.568, 21.742, 1.51, 0.053
45, 200, 2.151, 29.103, 0.289, 0.27
45, 300, 2.147, 29.402, 0.116, 0.074
45, 400, 3.646, 36.499, 0.001, 0.123
46, 100, 2.922, 28.518, 0.114, 0.076
46, 200, 2.255, 29.661, 0.322, 0.091
46, 300, 1.235, 29.319, 2.18, 0.037
46, 400, 3.58, 28.429, 0.027, 0.122
47, 100, 1.643, 18.647, 0.501, 0.69
47, 200, 2.062, 26.041, 0.712, 0.06
47, 300, 1.516, 25.494, 0.562, 0.184
47, 400, 2.871, 24.276, 1.331, 0.013
48, 100, 2.949, 37.358, 0.0, 0.793
48, 200, 3.293, 32.688, 0.018, 0.234
48, 300, 1.555, 25.627, 0.85, 0.51
48, 400, 2.622, 27.509, 0.023, 0.594
49, 100, 1.486, 23.2, 1.417, 0.045
49, 200, 2.802, 29.938, 0.051, 0.36
49, 300, 2.871, 30.931, 0.109, 0.179
49, 400, 1.429, 29.647, 0.65, 0.315
50, 100, 2.977, 35.251, 0.005, 0.1
50, 200, 1.613, 20.231, 0.476, 0.548
50, 300, 3.433, 27.924, 0.069, 0.095
50, 400, 2.074, 24.032, 1.738, 0.034
51, 100, 1.845, 25.749, 0.422, 0.144
51, 200, 2.11, 38.341, 0.014, 0.779
51, 300, 2.496, 24.135, 0.085, 0.604
51, 400, 4.528, 38.243, 0.016, 0.027
52, 100, 2.431, 22.634, 0.533, 0.042
52, 200, 2.91, 21.668, 2.202, 0.015
52, 300, 2.847, 27.842, 0.257, 0.109
52, 400, 2.023, 28.757, 0.136, 0.389
